season,mfl_id,fantasypros_id,pos,player_name,fan_pts_mean,fan_pts_max,fan_pts_min,pass_att_mean,pass_cmp_mean,pass_yds_mean,pass_tds_mean,pass_int_mean,pass_att_max,pass_cmp_max,pass_yds_max,pass_tds_max,pass_int_max,pass_att_min,pass_cmp_min,pass_yds_min,pass_tds_min,pass_int_min,rush_att_mean,rush_yds_mean,rush_tds_mean,rush_att_max,rush_yds_max,rush_tds_max,rush_att_min,rush_yds_min,rush_tds_min,fmb_lost_mean,fmb_lost_max,fmb_lost_min,rec_mean,rec_yds_mean,rec_tds_mean,rec_max,rec_yds_max,rec_tds_max,rec_min,rec_yds_min,rec_tds_min,dst_sack_mean,dst_int_mean,dst_fr_mean,dst_ff_mean,dst_td_mean,dst_saf_mean,dst_pa_mean,dst_ydsagn_mean,dst_sack_max,dst_int_max,dst_fr_max,dst_ff_max,dst_td_max,dst_saf_max,dst_pa_max,dst_ydsagn_max,dst_sack_min,dst_int_min,dst_fr_min,dst_ff_min,dst_td_min,dst_saf_min,dst_pa_min,dst_ydsagn_min,fg_made_mean,fg_att_mean,xpt_made_mean,fg_made_max,fg_att_max,xpt_made_max,fg_made_min,fg_att_min,xpt_made_min
2016,NA,NA,dst,Green Bay Packers,113.6,185,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,16.4,9.2,8.9,2.9,0.5,330.4,5668.7,49,20,10.3,13,4,1,344,5459.1,41,14.9,8,2,2,0,313,5856,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,dst,Minnesota Vikings,113,178,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,14.9,10.3,9.6,3,0.7,318.1,5583.1,48,17,12,17,5,2,331.5,5409,40.3,12.7,7.9,1,2,0,302,5849.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,10948,11425,qb,Case Keenum,112.9,183.7,52,297.4,177.3,2116.1,11,9.6,526,314.8,3538.6,19.7,3,124,74,831,4,17.5,19.2,57.9,0.6,33.8,97.3,1.2,2,11,0,3,0.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8851,NA,k,Nick Folk,112.7,124,105.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,31,36.3,28,34.8,40,22.1,27,31.3
2016,11387,11818,k,Dustin Hopkins,112.5,124.5,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,29.7,36.9,26.3,31,43,24,27.9,32.7
2016,8930,9443,k,Matt Prater,112.1,135.9,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7,30.2,35.1,30.8,35.6,40,23.4,26.3,30.9
2016,10983,NA,wr,Chris Hogan,112,131.9,87.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.9,0,2,12.5,0.1,0,0,0,0.3,0,0.5,42.7,497.5,3.3,52,591.8,4.9,28.6,325.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,dst,New England Patriots,111.5,170,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,14.9,11,11.8,2.6,0.5,316.4,5483.8,46,17.1,12,19.3,3.9,1,326,5361,40,12.5,10,0,1,0,306,5712,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,dst,Philadelphia Eagles,111.1,150.1,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,14.6,11.1,12.9,3.4,0.7,387.7,5756.1,41,16,14,19,5,1,430,5386,35.6,12.7,9,2,2,0,349,6140.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,dst,New York Jets,111.1,178,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,15.3,11,10.8,2.8,0.4,334.4,5396.6,44,16,13,18,4.8,1,355,5234,37,14.4,8,0,1,0,314,5610.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
